event_id,event_date,t0_utc,category,sport,description,tier1_source,source_url,affected_series,expectation_note,status
giannis_to_heat,2026-06-23,2026-06-23T03:50:00Z (approx),unscheduled_sports_trade,NBA,"Bucks trade Giannis Antetokounmpo + Bobby Portis to Heat for Tyler Herro/Kel'el Ware/Jaime Jaquez Jr./Kasparas Jakucionis + 3 firsts + swap + 2nd; first reported by Shams Charania ~11:50 PM ET Jun 22",ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49149967/bucks-trading-giannis-antetokounmpo-bobby-portis-heat-tyler-herro-kelel-ware-jaime-jaquez-jr-kasparas-jakucionis-picks,KXNBA,"Rumor trail: Giannis on market since Feb deadline; pre-event odds from KXNBA snapshots",confirmatory_candidate
myles_garrett_to_rams,2026-06-01,2026-06-01T17:19:00Z (approx),unscheduled_sports_trade,NFL,"Browns trade Myles Garrett to Rams for Jared Verse + 3 picks; jointly reported by Schefter/Rapoport/Pelissero; ESPN article 1:19 PM ET",ESPN/Adam Schefter,https://www.espn.com/nfl/story/_/id/48939456/sources-browns-rams-finalizing-myles-garrett-blockbuster-trade,KXSB,"Rumor trail: Garrett holdout/trade request spring 2026; pre-event odds from KXSB snapshots",confirmatory_candidate
aj_brown_to_patriots,2026-06-01,2026-06-01T20:20:00Z (approx),unscheduled_sports_trade,NFL,"Eagles trade WR A.J. Brown to Patriots for 2028 1st + another pick (post-June 1 designation); Schefter first report ~4:20 PM ET",ESPN/Adam Schefter,https://www.espn.com/nfl/story/_/id/48937845/sources-eagles-agree-trade-aj-brown-patriots-2-picks,KXSB,"Rumor trail: months of Brown speculation spring 2026; pre-event odds from KXSB snapshots",confirmatory_candidate
jaylen_brown_to_76ers,2026-07-01,2026-07-01T22:20:00Z (approx),unscheduled_sports_trade,NBA,"Celtics trade Jaylen Brown to 76ers for Paul George + 2 firsts + 2 seconds; Shams first report ~6:20 PM ET",ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49241843/sources-celtics-sending-brown-76ers-george-picks,KXNBA,"Rumor trail: Celtics dangled Brown in Giannis talks; pre-event odds from KXNBA snapshots",confirmatory_candidate
dlo_six_team_trade,2026-07-08,2026-07-08T00:53:00Z (confirmed),unscheduled_sports_trade,NBA,"D'Angelo Russell to Grizzlies as part of six-team trade (Wizards S&T Khris Middleton to DAL etc.); Shams X post 8:53 PM ET Jul 7, mirrored on ESPN contributor page",ESPN/Shams Charania,https://www.espn.com/contributor/shams-charania/6e1634c82d9f9,KXNBA,"Complex multi-team deal; expectation baseline unclear - likely smaller market move",confirmatory_candidate
kawhi_to_raptors,2026-09-14,2026-09-14T18:56:00Z (approx),unscheduled_sports_trade,NBA,"Clippers trade Kawhi Leonard to Raptors for Brandon Ingram/Gradey Dick/2 unprotected 1sts + 1 more 1st; Shams 'Done deal' post; official Sept 14 after NBA investigation concluded",ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49208596/kawhi-leonard-trade-grades-reaction-clippers-raptors-contract,KXNBA,"Unusual case: framework agreed ~June 30 but completion uncertain until Sept; T=0 = completion report",confirmatory_candidate
dexter_lawrence_trade,DROPPED,DROPPED,unscheduled_sports_trade,NFL,"DROPPED: trade actually reported April 18 2026 (Schefter) - outside the June 1 summer window",Adam Schefter (April),https://www.espn.com/contributor/adam-schefter/3bb9667e3c845,KXSB,"Outside window - excluded",dropped
lebron_to_76ers,2026-07-24,2026-07-24T20:34:00Z (approx),unscheduled_sports_signing,NBA,"LeBron James signs 2-year $8M deal with 76ers (player option); Rich Paul told ESPN's Shams Charania; James called it his 'last decision' entering 24th season; ESPN article 4:34 PM ET",ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49440164/lebron-chooses-76ers-sign-2-year-8-million-contract,KXNBA,"VERIFIED via Tier-1 (was uncertain in draft); massive expectation shock",confirmatory_candidate
von_miller_to_cowboys,2026-08-17,2026-08-17T01:10:00Z (approx),unscheduled_sports_signing,NFL,"Von Miller signs 1yr/$5.5M (max $7.5M) with Cowboys; Schefter first reported Sunday night ~9:10 PM ET Aug 16; Rapoport reported details Aug 17; 15th NFL season",ESPN/Adam Schefter,https://www.espn.com/nfl/story/_/id/49634196/von-miller-expected-sign-dallas-cowboys,KXSB,"Veteran edge signing to contender; pre-event KXSB Cowboys price needed",confirmatory_candidate
mitchell_robinson_to_celtics,2026-07-01,2026-07-01T15:39:00Z (approx),unscheduled_sports_signing,NBA,"Mitchell Robinson signs 3-year $47.4M deal with Celtics; Shams report ~11:39 AM ET",ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49237335/sources-mitchell-robinson-celtics-agree-3-year-474m-deal,KXNBA,"Role-player signing; likely small market move - good null-case candidate",confirmatory_candidate
mike_conley_to_celtics,2026-07-01,2026-07-01T14:58:00Z (approx),unscheduled_sports_signing,NBA,"Mike Conley signs 1-year deal with Celtics (14th player to reach 20 NBA seasons); Shams report ~10:58 AM ET",ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49236186/sources-conley-celtics-becomes-14th-reach-20-nba-seasons,KXNBA,"Veteran minimum-type deal; likely small market move - good null-case candidate",confirmatory_candidate
donovan_mitchell_extension,2026-07-07,2026-07-07T10:01:00Z (confirmed),unscheduled_sports_extension,NBA,"Donovan Mitchell agrees 4yr/$273M max extension with Cavaliers (player option 2030-31 + trade kicker); Shams X post 6:01 AM ET, mirrored on ESPN contributor page; announced July 9",ESPN/Shams Charania,https://www.espn.com/contributor/shams-charania/5b76a72293bf4,KXNBA,"Extension killed months of Knicks trade speculation; first eligibility day",confirmatory_candidate
neemias_queta_extension,2026-07-03,2026-07-03T13:53:00Z (approx),unscheduled_sports_extension,NBA,"Celtics pick up Queta option then add 4yr/$56M extension; Shams report ~9:53 AM ET",ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49258502/celtics-picking-queta-option-adding-4-year-56m-extension,KXNBA,"Role-player extension; likely small market move - null-case candidate",confirmatory_candidate
jordan_walsh_extension,2026-07-23,2026-07-23T12:27:00Z (confirmed),unscheduled_sports_extension,NBA,"Jordan Walsh agrees 3yr/$15M extension with Celtics; Shams X post 8:27 AM ET, mirrored on ESPN contributor page",ESPN/Shams Charania,https://www.espn.com/contributor/shams-charania/e83de232af987,KXNBA,"Young-player extension; likely small market move",confirmatory_candidate
brian_oneill_extension,2026-07-28,2026-07-28T14:24:00Z (confirmed),unscheduled_sports_extension,NFL,"Vikings RT Brian O'Neill signs 4yr/$96M extension; Schefter X post 10:24 AM ET, mirrored on ESPN contributor page",ESPN/Adam Schefter,https://www.espn.com/contributor/adam-schefter/c61ef3aa26095,KXSB,"Extension of non-QB lineman; may not move SB futures - keep as null-case",confirmatory_candidate
aaron_donald_comeback,2026-08-30,2026-08-30T17:00:00Z (confirmed),unscheduled_sports_other,NFL,"Aaron Donald comes out of retirement: 1-year $20M deal with Rams; Schefter X post 1:00 PM ET, mirrored on ESPN contributor page. (Draft had wrongly placed this in July as unconfirmed - VERIFIED Aug 30)",ESPN/Adam Schefter,https://www.espn.com/contributor/adam-schefter/cd316d7a25148,KXSB,"Comeback alongside Myles Garrett acquisition; genuine surprise",confirmatory_candidate
nba_schedule_release,2026-08-13,2026-08-13T19:08:00Z (approx date confirmed),scheduled_sports,NBA,"NBA releases 2026-27 schedule Thursday Aug 13 (CORRECTED from Aug 14 in draft); T-7 snapshot = 2026-08-06",NBA.com (official),https://www.espn.com/nba/story/_/id/49471934/nba-full-schedule-2026-2027-games-watch-faq-rivalries-matchups,KXNBA,"Scheduled league event; expectation documented at T-7 per prereg",confirmatory_candidate
nfl_kickoff,2026-09-09,2026-09-10T00:20:00Z (confirmed),scheduled_sports,NFL,"2026 NFL season kickoff: Patriots at Seahawks (Super Bowl LX rematch), Lumen Field Seattle, Wednesday Sept 9 8:20 PM ET on NBC/Peacock; T-7 snapshot = 2026-09-02",NFL.com (official),https://www.nbc.com/nbc-insider/how-to-watch-patriots-vs-seahawks-2026,KXSB,"CORRECTED from Sept 10 in draft; T-7 expectations from odds + KXSB",confirmatory_candidate
nba_opening_night,2026-10-20,2026-10-20 (times TBD),scheduled_sports,NBA,"NBA 2026-27 opening night Tuesday Oct 20 (confirmed): tripleheader NBC/Peacock - Celtics at Pistons 3pm ET, 76ers at Knicks 7pm ET, Thunder at Spurs 9:30pm ET; T-7 snapshot = 2026-10-13",NBA.com (official),https://www.espn.com/nba/story/_/id/49471934/nba-full-schedule-2026-2027-games-watch-faq-rivalries-matchups,KXNBA,"Future event; expectations at T-7 per prereg",confirmatory_candidate
nfl_trade_deadline,2026-11-10,2026-11-10T21:00:00Z (confirmed),scheduled_sports,NFL,"NFL trade deadline Tuesday Nov 10 4pm ET (confirmed); T-7 snapshot = 2026-11-03",NFL.com (official),N/A,KXSB,"Future event; per prereg T-7 rule",confirmatory_candidate
