event_id,size_tier,ex_ante_justification
giannis_to_heat,Big,"2x MVP; perennial All-NBA 1st team; franchise-player blockbuster trade (reported by Shams)"
myles_garrett_to_rams,Big,"Reigning DPOY; 1st-team All-Pro edge rusher; traded for young star + 3 picks"
aj_brown_to_patriots,Big,"All-Pro / Pro Bowl WR1; prime star receiver traded for 1st-round pick package"
jaylen_brown_to_76ers,Big,"All-Star / All-NBA wing; traded for Paul George + 4 picks"
kawhi_to_raptors,Big,"Multi-time All-Star / All-NBA; 2x Finals MVP pedigree; traded for starter + 3 firsts"
lebron_to_76ers,Big,"All-NBA; 20x All-Star; 2-year $8M free-agent deal with contender (below-market star signing)"
aaron_donald_comeback,Big,"3x DPOY; 1st-team All-Pro; franchise-defining defender coming out of retirement"
donovan_mitchell_extension,Big,"All-Star guard; 4yr/$273M supermax extension with trade kicker"
dlo_six_team_trade,Medium,"Former All-Star now journeyman; established starter changing teams in 6-team deal [UNCERTAIN: Big/Medium borderline on name value]"
mitchell_robinson_to_celtics,Medium,"Starting-caliber center; 3yr/$47.4M (~$15.8M/yr) free-agent deal"
brian_oneill_extension,Medium,"Starting RT; 4yr/$96M ($24M/yr) extension"
von_miller_to_cowboys,Small,"Age 37; rotational pass rusher by 2025 (not a starter); 1yr/$5.5M deal [UNCERTAIN: Medium/Small borderline on legacy]"
mike_conley_to_celtics,Small,"Age 38; backup point guard; 1-year veteran deal"
neemias_queta_extension,Small,"Rotation/bench big; 4yr/$56M ($14M/yr) extension"
jordan_walsh_extension,Small,"Deep-bench wing; 3yr/$15M extension"
