event_id,t0_utc,t0_confidence,cell,category,sport_or_domain,description,tier1_source,source_url,affected_series,expectation_note,confirmatory_or_exploratory
giannis_to_heat,2026-06-23T03:50:00Z,approx,unscheduled_sports,unscheduled_sports_trade,NBA,Bucks trade Giannis Antetokounmpo + Bobby Portis to Heat for Tyler Herro/Kel'el Ware/Jaime Jaquez Jr./Kasparas Jakucionis + 3 firsts + swap + 2nd; first reported by Shams Charania ~11:50 PM ET Jun 22,ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49149967/bucks-trading-giannis-antetokounmpo-bobby-portis-heat-tyler-herro-kelel-ware-jaime-jaquez-jr-kasparas-jakucionis-picks,KXNBA,Rumor trail: Giannis on market since Feb deadline; pre-event odds from KXNBA snapshots,confirmatory
myles_garrett_to_rams,2026-06-01T17:19:00Z,approx,unscheduled_sports,unscheduled_sports_trade,NFL,Browns trade Myles Garrett to Rams for Jared Verse + 3 picks; jointly reported by Schefter/Rapoport/Pelissero; ESPN article 1:19 PM ET,ESPN/Adam Schefter,https://www.espn.com/nfl/story/_/id/48939456/sources-browns-rams-finalizing-myles-garrett-blockbuster-trade,KXSB,Rumor trail: Garrett holdout/trade request spring 2026; pre-event odds from KXSB snapshots,confirmatory
aj_brown_to_patriots,2026-06-01T20:20:00Z,approx,unscheduled_sports,unscheduled_sports_trade,NFL,Eagles trade WR A.J. Brown to Patriots for 2028 1st + another pick (post-June 1 designation); Schefter first report ~4:20 PM ET,ESPN/Adam Schefter,https://www.espn.com/nfl/story/_/id/48937845/sources-eagles-agree-trade-aj-brown-patriots-2-picks,KXSB,Rumor trail: months of Brown speculation spring 2026; pre-event odds from KXSB snapshots,confirmatory
jaylen_brown_to_76ers,2026-07-01T22:20:00Z,approx,unscheduled_sports,unscheduled_sports_trade,NBA,Celtics trade Jaylen Brown to 76ers for Paul George + 2 firsts + 2 seconds; Shams first report ~6:20 PM ET,ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49241843/sources-celtics-sending-brown-76ers-george-picks,KXNBA,Rumor trail: Celtics dangled Brown in Giannis talks; pre-event odds from KXNBA snapshots,confirmatory
dlo_six_team_trade,2026-07-08T00:53:00Z,confirmed,unscheduled_sports,unscheduled_sports_trade,NBA,"D'Angelo Russell to Grizzlies as part of six-team trade (Wizards S&T Khris Middleton to DAL etc.); Shams X post 8:53 PM ET Jul 7, mirrored on ESPN contributor page",ESPN/Shams Charania,https://www.espn.com/contributor/shams-charania/6e1634c82d9f9,KXNBA,Complex multi-team deal; expectation baseline unclear - likely smaller market move,confirmatory
kawhi_to_raptors,2026-09-14T18:56:00Z,approx,unscheduled_sports,unscheduled_sports_trade,NBA,Clippers trade Kawhi Leonard to Raptors for Brandon Ingram/Gradey Dick/2 unprotected 1sts + 1 more 1st; Shams 'Done deal' post; official Sept 14 after NBA investigation concluded,ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49208596/kawhi-leonard-trade-grades-reaction-clippers-raptors-contract,KXNBA,Unusual case: framework agreed ~June 30 but completion uncertain until Sept; T=0 = completion report,confirmatory
lebron_to_76ers,2026-07-24T20:34:00Z,approx,unscheduled_sports,unscheduled_sports_signing,NBA,LeBron James signs 2-year $8M deal with 76ers (player option); Rich Paul told ESPN's Shams Charania; James called it his 'last decision' entering 24th season; ESPN article 4:34 PM ET,ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49440164/lebron-chooses-76ers-sign-2-year-8-million-contract,KXNBA,VERIFIED via Tier-1 (was uncertain in draft); massive expectation shock,confirmatory
von_miller_to_cowboys,2026-08-17T01:10:00Z,approx,unscheduled_sports,unscheduled_sports_signing,NFL,Von Miller signs 1yr/$5.5M (max $7.5M) with Cowboys; Schefter first reported Sunday night ~9:10 PM ET Aug 16; Rapoport reported details Aug 17; 15th NFL season,ESPN/Adam Schefter,https://www.espn.com/nfl/story/_/id/49634196/von-miller-expected-sign-dallas-cowboys,KXSB,Veteran edge signing to contender; pre-event KXSB Cowboys price needed,confirmatory
mitchell_robinson_to_celtics,2026-07-01T15:39:00Z,approx,unscheduled_sports,unscheduled_sports_signing,NBA,Mitchell Robinson signs 3-year $47.4M deal with Celtics; Shams report ~11:39 AM ET,ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49237335/sources-mitchell-robinson-celtics-agree-3-year-474m-deal,KXNBA,Role-player signing; likely small market move - good null-case candidate,confirmatory
mike_conley_to_celtics,2026-07-01T14:58:00Z,approx,unscheduled_sports,unscheduled_sports_signing,NBA,Mike Conley signs 1-year deal with Celtics (14th player to reach 20 NBA seasons); Shams report ~10:58 AM ET,ESPN/Shams Charania,https://www.espn.com/nba/story/_/id/49236186/sources-conley-celtics-becomes-14th-reach-20-nba-seasons,KXNBA,Veteran minimum-type deal; likely small market move - good null-case candidate,confirmatory
